workplace_address,county,investigation_start_date,most_recent_onset,total_cases,report_date,last_updated
"Amazon UOR2 5015 NW Front Ave, Portland, OR 97210",Multnomah,2021-01-21,2021-02-15,7,2021-04-07,"Sunday, April 4"
"Amazon UOR2 5015 NW Front Ave, Portland, OR 97210",Multnomah,2021-01-21,2021-02-15,7,2021-03-31,"Sunday, March 28"
"Amazon UOR2 5015 NW Front Ave, Portland, OR 97210",Multnomah,2021-01-21,2021-02-15,7,2021-03-24,"Sunday, March 21"
"Amazon UOR2 5015 NW Front Ave, Portland, OR 97210",Multnomah,2021-01-21,2021-02-15,7,2021-03-17,"Sunday, March 14"
"Amazon Troutdale 1250 NW Swigert Rd, Troutdale, OR 97060",Multnomah,2020-05-21,2021-12-07,453,2021-12-15,"Sunday, 
December 12"
"Amazon Troutdale 1250 NW Swigert Rd, Troutdale, OR 97060",Multnomah,2020-05-21,2021-12-04,432,2021-12-08,"Sunday, 
December 5"
"Amazon Troutdale 1250 NW Swigert Rd, Troutdale, OR 97060",Multnomah,2020-05-21,2021-11-22,402,2021-12-01,"Sunday, 
November 28"
"Amazon Troutdale 1250 NW Swigert Rd, Troutdale, OR 97060",Multnomah,2020-05-21,2021-11-11,397,2021-11-24,"Sunday, 
November 21"
"Amazon Troutdale 1250 NW Swigert Rd, Troutdale, OR 97060",Multnomah,2020-05-21,2021-11-06,393,2021-11-17,"Sunday, 
November 14"
"Amazon Troutdale 1250 NW Swigert Rd, Troutdale, OR 97060",Multnomah,2020-05-21,2021-10-28,389,2021-11-10,"Sunday, 
November 7"
"Amazon Troutdale 1250 NW Swigert Rd, Troutdale, OR 97060",Multnomah,2020-05-21,2021-10-20,387,2021-11-03,"Sunday, October 31"
"Amazon Troutdale 1250 NW Swigert Rd, Troutdale, OR 97060",Multnomah,2020-05-21,2021-10-12,384,2021-10-27,"Sunday, 
October 10"
"Amazon Troutdale 1250 NW Swigert Rd, Troutdale, OR 97060",Multnomah,2020-05-21,2021-10-01,382,2021-10-20,"Sunday, 
October 17"
"Amazon Troutdale 1250 NW Swigert Rd, Troutdale, OR 97060",Multnomah,2020-05-21,2021-09-22,381,2021-10-13,"Sunday, October 10"
