Workplace,Outbreak Length,Total Cases,Resolved?,Investigation Start,Latest Case Date
Amazon Aumsville ,566 days,233,False,2020-05-21,2021-12-08
Amazon Troutdale ,565 days,453,False,2020-05-21,2021-12-07
Salem Hospital ,558 days,366,False,2020-05-27,2021-12-06
Snake River Correctional Institution ,357 days,639,True,2020-06-24,2021-06-16
Amy's Kitchen ,268 days,153,True,2020-07-28,2021-04-22
Walmart Distribution Center ,250 days,124,True,2020-06-30,2021-03-07
Oregon State Hospital (A) ,233 days,104,False,2021-04-16,2021-12-05
Walmart Distribution Center ,221 days,71,False,2021-04-26,2021-12-03
Eastern Oregon Correctional Institution ,201 days,535,True,2020-07-08,2021-01-25
Oregon State Hospital ,196 days,147,True,2020-07-13,2021-01-25
