workplace_address,county,investigation_start_date,most_recent_onset,total_cases,report_date,last_updated
"Two Rivers Correctional Institute 82911 Beach Access Rd, Umatilla, OR 97882 ",Umatilla,2020-11-16,2021-04-28,769,2021-5-19,"Sunday, May 16"
" Snake River Correctional Institution 777 Stanton Blvd, Ontario, OR 97914 ",Malheur,2020-06-24,2021-04-28,635,2021-5-19,"Sunday, May 16"
" Amazon Troutdale 1250 NW Swigert Rd, Troutdale, OR 97060 ",Multnomah,2020-05-21,2021-05-10,294,2021-5-19,"Sunday, May 16"
" Salem Hospital 890 Oak Street SE, Salem, OR 97301 ",Marion,2020-05-27,2021-05-07,196,2021-5-19,"Sunday, May 16"
" Amazon Aumsville 4775 Depot Ct SE, Salem, OR 97317 ",Marion,2020-05-21,2021-05-14,168,2021-5-19,"Sunday, May 16"
" Amy's Kitchen 441 W Antelope Rd, White City, OR 97503 ",Jackson,2020-07-28,2021-04-22,153,2021-5-19,"Sunday, May 16"
" People's Church 4500 Lancaster Dr NE, Salem, OR 97305 ",Marion,2021-04-06,2021-05-06,87,2021-5-19,"Sunday, May 16"
" Sheridan Correctional Institution 27072 Ballston Rd, Sheridan, OR 97378 ",Yamhill,2020-10-19,2021-04-24,83,2021-5-19,"Sunday, May 16"
" Amazon PDX5 5647 NE Huffman St, Hillsboro, OR 97124 ",Washington,2021-02-27,2021-05-03,40,2021-5-19,"Sunday, May 16"
"Rosboro Saw Mill 2509 Main St, Springfield, OR 97477 ",Lane,2021-04-19,2021-05-05,36,2021-5-19,"Sunday, May 16"
" MasterBrand Cabinets 550 SE Mill St, Grants Pass, OR 97526 ",Josephine,2021-02-12,2021-05-01,33,2021-5-19,"Sunday, May 16"
" Target Distribution Center 875 Beta Dr SW, Albany, OR 97321 ",Linn,2021-01-22,2021-05-05,31,2021-5-19,"Sunday, May 16"
" Blue Mountain Hospital District 170 Ford Rd, John Day, OR 97845 ",Grant,2021-03-19,2021-04-26,27,2021-5-19,"Sunday, May 16"
" Clackamas County Jail 2206 Kaen Rd, Oregon City, OR 97045 ",Clackamas,2021-04-09,2021-05-11,24,2021-5-19,"Sunday, May 16"
" Timber Products Co (B) 25 E McAndrews Rd, Medford, OR 97501 ",Jackson,2021-03-08,2021-05-01,24,2021-5-19,"Sunday, May 16"
" Facebook Data Center 735 SW Connect Way, Prineville, OR 97754 ",Crook,2021-05-13,2021-05-07,20,2021-5-19,"Sunday, May 16"
" Swickard Honda Auto Group 19400 SE McLoughlin Blvd, Gladstone, OR 97027 ",Clackamas,2021-05-05,2021-05-12,20,2021-5-19,"Sunday, May 16"
" Roseburg Forest Products: Dillard Plywood 10550 Old Hwy 99 South Dillard, OR 97432 ",Douglas,2021-03-11,2021-05-05,18,2021-5-19,"Sunday, May 16"
" West Coast Coffee 8010 NE Mauzey Ct, Hillsboro, OR 97124 ",Washington,2021-04-17,2021-04-26,17,2021-5-19,"Sunday, May 16"
" Withnell Dodge Motor 2650 Commercial St SE, Salem, OR 97317 ",Marion,2021-04-12,2021-04-24,17,2021-5-19,"Sunday, May 16"
" Coffee Creek Intake Center 24499 SW Grahams Ferry Rd, Wilsonville, OR 97070 ",Washington,2021-04-21,2021-05-03,16,2021-5-19,"Sunday, May 16"
"Fought & Company 14255 SW 72nd Ave, Tigard, OR 97224 ",Washington,2021-04-27,2021-04-25,15,2021-5-19,"Sunday, May 16"
" Pepsi Beverages North America 11650 SE Capps Rd, Clackamas, OR 97015 ",Clackamas,2021-04-16,2021-04-27,15,2021-5-19,"Sunday, May 16"
" Swanson Group Manufacturing, LLC 1651 S F St, Springfield, OR 97477 ",Lane,2021-04-07,2021-05-11,15,2021-5-19,"Sunday, May 16"
" Highway Products, Inc 7905 Agate Rd, White City, OR 97503 ",Jackson,2021-05-05,2021-05-11,13,2021-5-19,"Sunday, May 16"
" Lowe's Distribution Center 1001 Reeves Pkwy, Lebanon, OR 97355 ",Linn,2021-04-17,2021-05-13,13,2021-5-19,"Sunday, May 16"
" Murphy Softwood Veneer 7975 11th St, White City, OR 97503 ",Jackson,2021-04-13,2021-04-26,13,2021-5-19,"Sunday, May 16"
" Oregon Health & Science University 3181 SW Sam Jackson Park Rd, Portland, OR 97239 ",Multnomah,2021-05-05,2021-05-11,13,2021-5-19,"Sunday, May 16"
" Precision Castparts, LPC-T 5001 SE Johnson Creek Blvd, Milwaukie, OR 97222 ",Clackamas,2021-03-17,2021-05-04,13,2021-5-19,"Sunday, May 16"
" Keystone RV 33000 Westgate, Pendleton, OR 97081 ",Umatilla,2021-05-05,2021-05-11,13,2021-5-19,"Sunday, May 16"
" Costco 2500 NE Hwy 20, Bend, OR 97701 ",Deschutes,2021-04-28,2021-05-08,12,2021-5-19,"Sunday, May 16"
" Pacific Lumber & Truss 10515 SW Allen Blvd, Beaverton, OR 97005 ",Washington,2021-04-13,2021-04-25,12,2021-5-19,"Sunday, May 16"
" Toyota of Gladstone 19375 SE McLoughlin Blvd, Gladstone, OR 97027 ",Clackamas,2021-03-24,2021-05-10,12,2021-5-19,"Sunday, May 16"
