RID,UPA #,Estab Name,DBA,Site Address 1,Site Address 2,Site City,Site State,Site Zip,Site County,Primary/Site NAICS,UPA Receipt Date,Receipt Type,Formality,Insp #,Hazard Desc & Location,# Alleged Hazards/ Emp Exposed
111400,C-1558397,Amazon,,1000 Technology Center Drive,,STOUGHTON,MA,02072,NORFOLK,425120 / 425120,2020-03-25 13:00:00,Phone,Nonformal,,Warehouse: Employer is not enforcing protocols in place to keep employees 6 feet apart. Protocols are not being provided in all languages spoken by employees. Personal protective equipment is not being provided to employees. Equipment is not easily accessible from safety team members who may not be in the work area. ,3 /50
111400,C-1558908,Amazon,,500 Sprague Street,,DEDHAM,MA,02026,NORFOLK,493110 / 493110,2020-03-26 08:00:00,Phone,Nonformal,,Employees are going into work sick. Employer is encouraging these employees to come to work. Employer has not provided hand sanitizers and products to clean workplace surface. Safety procedures to limit exposure to COVID 19 have not been implemented. ,2 /50
111400,C-1562518,Amazon,,500 Sprague Street,,DEDHAM,MA,02026,NORFOLK,493110 / 493110,2020-03-31 11:30:00,Phone,Nonformal,,Employees are having to go into work sick with respiratory problems because they do not have sick time. Employees were told several weeks ago that masks would be available. There are presently no masks to help prevent sick people from getting coworkers sick with a respiratory illness that could be COVID19 . Handwashing is being limited The amount of glove changes is being limited. ,5 /20
111400,C-1569297,Amazon,,500 Sprague Street,,DEDHAM,MA,02026,NORFOLK,493110 / 493110,2020-04-10 08:00:00,Online,Nonformal,,Employees were possibly exposed to COVID19 after there was a reported case of COVID19 in the work place. The facility is not shutting down to ensure all work areas have been disinfected and there is no potential for live virus on surfaces.,2 /50
111400,C-1575644,Amazon BOS5,,1000 Technology Center Drive,,STOUGHTON,MA,02072,NORFOLK,425120 / 425120,2020-04-21 13:00:00,Phone,Nonformal,,"1. No soap; 2. No sanitizer 3. Due to the nature of the work, employees are unable to distance. Employer has not provided alternate measure to protect employees. 4. Employer has not provided follow-up care and information (in accordance with HIPPA and local and state health authorities) to employees whose co-workers have become ill from COVID. Employees are concerned that the employer is ¿hiding¿ COVID-positive cases from employees. ",4 /100
111400,C-1588674,Amazon,,1000 Technology Center Drive,,STOUGHTON,MA,02072,NORFOLK,425120 / 425120,2020-05-13 13:00:00,Phone,Nonformal,,"Employees who are required to wear masks for 8 hour shifts are not given opportunities to take short breaks from the wearing masks. If an employee removes masks for a moment (ensuring they are 6 feet away from a coworker) to catch their breath and get some relief, they are reprimanded. Employees are experiencing feelings of respiratory distress while wearing mask for extended periods of time. ",2 /100
111400,C-1595150,Amazon Logistics,,480 Sprague St.,,DEDHAM,MA,02026,NORFOLK,541614 / 541614,2020-05-26 08:30:00,Online,Nonformal,,"1.) Handheld device and palm scanners not cleaned or disinfected between shifts, neoprene device armbands, which are frequently in direct contact with skin are not cleaned or disinfected (if even possible) between shifts; armbands are sometimes even sweaty from previous user.",1 /25
111400,C-1630669,Amazon,,351 Maple Street,,BELLINGHAM,MA,02019,NORFOLK,454390 / 454390,2020-07-27 09:15:00,Online,Nonformal,,1. Employees at Amazon still continue to not properly wear their masks or not at all.,1 /100
111500,C-1564827,Amazon Fulfillment Center BDL-3,,409 Washington Avenue,,NORTH HAVEN,CT,06473,NEW HAVEN,492110 / 492110,2020-04-02 15:00:00,Phone,Nonformal,,Workers are not told in a timely manner about coworkers who have tested positive for COVID-19 and increases in surface disinfection practices have not been performed.,1 /120
111500,C-1584881,Amazon BDL3,,409 Washington Avenue,,NORTH HAVEN,CT,06473,NEW HAVEN,518210 / 518210,2020-05-06 16:15:00,Phone,Nonformal,,"1. Allegedly, employees tested positive for coronavirus (COVID-19) and the employer has not informed employee who are on extended leave of absence on the amounts of employees who had contacted coronavirus in the past month and had not taken any preventative measures in accordance with CDC Guidelines for employees indirect or direct exposed to individuals with known or suspected cases of coronavirus (COVID-19). 2. Allegedly, outside contractors performing cleaning and disinfecting of the workshop are not provided with appropriate personal protective equipment (PPE) and are not maintaining social distancing with the Amazon employees. ",2 /1000
112000,C-1588404,Amazon - Fulfillment Center,,200 Old Iron Ore Road,,WINDSOR,CT,06095,HARTFORD,454111 / 454111,2020-05-13 08:00:00,Email,Nonformal,,This facility isn't following social distancing protocols. Masks are suppose to be mandatory but most employees aren't wearing them. Management are not dealing with anyone not following Covid 19 protocols.,1 /1
112000,C-1683129,Amazon Delivery Station,,65 Holmes Rd,,NEWINGTON,CT,06111,HARTFORD,492110 / 492110,2020-11-03 16:20:00,Phone,Nonformal,,"Employees may be exposed to COVID-19 in that, mask wearing is not enforced",1 /20
112000,C-1703953,Amazon - Fulfillment Center,,200 Old Iron Ore Road,,WINDSOR,CT,06095,HARTFORD,454111 / 454111,2020-12-11 09:15:00,Phone,Nonformal,,"Packing Department: Although compliance has gotten better, employees are still not wearing masks properly. Employees must work in close proximity to each other and there have been up to ten messages a day notifying employees of team member infected with COVID-19 within the facility.",1 /100
112300,C-1552588,Amazon Whole Foods Shoppers,,261 Waterman Street,,PROVIDENCE,RI,02906,PROVIDENCE,445110 / 445110,2020-03-12 23:30:00,Online,Nonformal,,"Employees do not have access to disposable gloves when picking and handling produce and raw meats for customers. These gloves were available until March 11, 2020. The employer is now requiring employees to insert their hands into plastic produce bags as a substitute, or wear no gloves at all. These produce bags do not offer adequate protection to workers against contamination. ",1 /20
112300,C-1570046,DRI1 Amazon Delivery Center,,115 Dupont Dr.,,PROVIDENCE,RI,02907,PROVIDENCE,492210 / 492210,2020-04-13 09:24:00,Email,Nonformal,,"An Amazon delivery driver tested positive for covid-19 and was inside the warehouse on 4/08/2020, and workers are still being told to continue working with no actions being taken.",1 /30
112300,C-1622213,"Amazon Logistics, Inc.",,115 DUPONT DRIVE,,PROVIDENCE,RI,02907,PROVIDENCE,485999 / 485999,2020-07-14 13:45:00,Phone,Nonformal,,1. Management is not following the 6 foot distancing guidelines and mask wearing policy for Covid-19. 2. An employee passed out from the heat and management did not follow protocol to prevent heat illness or take care of the employee when she fell ill.,2 /100
134000,C-1567857,Amazon Robotics LLC,,300 Riverpark Dr.,,NORTH READING,MA,01864,MIDDLESEX,541614 / 541614,2020-04-08 11:00:00,Phone,Nonformal,,The employer is not enforcing CDC guidelines to protect employees from Covid-19. Guidelines are provided on the CDC website at: https://www.cdc.gov/coronavirus/2019-ncov/community/guidance-business-response.html?CDC_AA_refVal=https%3A%2F%2Fwww.cdc.gov%2Fcoronavirus%2F2019-ncov%2Fspecific-groups%2Fguidance-business-response.html Employer is not complying with the recommended social distancing of employees. Employer is not enforcing PPE use when employees are working in close proximity. Employer is not employee when a co-worker tests positive. Employer is not providing training to employees about how to reduce the spread of Covid-19. ,3 /70
134000,C-1577725,Amazon Robotics LLC,,300 Riverpark Dr.,,NORTH READING,MA,01864,MIDDLESEX,541614 / 541614,2020-04-22 14:39:00,Phone,Nonformal,,"1. Employees are not receiving general, non-identifying communication from the employer when they may have come in contact or worked in an area with an employee who has confirmed COVID-19. ",1 /1
134000,C-1580749,Amazon Robotics LLC,,300 Riverpark Dr.,,NORTH READING,MA,01864,MIDDLESEX,541614 / 541614,2020-04-29 13:30:00,Online,Nonformal,,The employer is not following the CDC guidelines in regards to: Communicating to all employees when an fellow employee contracts Covid-19 virus.,1 /100
134000,C-1696451,Amazon Fresh,,2151 Mystic Valley Pkwy,,MEDFORD,MA,02155,MIDDLESEX,445110 / 445110,2020-12-01 08:15:00,Phone,Nonformal,,1. The employer is not enforcing CDC guidelines to protect employees from COVID-19. Guidelines are provided on the CDC website at: https://www.cdc.gov/coronavirus/2019-ncov/community/guidance-business-response.html?CDC_AA_refVal=https%3A%2F%2Fwww.cdc.gov%2Fcoronavirus%2F2019-ncov%2Fspecific-groups%2Fguidance-business-response.html,1 /20
213100,C-1788523,Amazon FC,,635 International Blvd.,,ROCK TAVERN,NY,12575,ORANGE,493110 / 493110,2021-07-19 08:00:00,Hotline,Nonformal,,- Employees are being exposed to mold and not informing the employees of the exposure. They are being told by human resources it is an air-condition issue. - Not all employee are vaccinated for COVID.,2 /1
213400,C-1554433,"Amazon Fulfillment Services, Inc.",Amazon Fulfillment Center LGA9,2170 NJ Route 27,,EDISON,NJ,08817,MIDDLESEX,454110 / 454110,2020-03-17 14:00:00,Phone,Nonformal,,The company has stressed hand-washing for COVID19 precaution; but 4 different bathrooms were out of hand soap yesterday and hand wipes / sanitizer supplies were lacking. Managers simply say they are on back-order.,1 /2000
213400,C-1602141,"Amazon Fulfillment Services, Inc.",Amazon Fulfillment Center (LGA9),2170 NJ Route 27,smerrell@amazon.com,EDISON,NJ,08817,MIDDLESEX,454110 / 454110,2020-06-08 09:45:00,Online,Nonformal,,"Workers are potentially exposed to surfaces such as cardboard gaylord crates and plastic totes that are not sanitized on a frequent, periodic or even occasional basis. Contrary to the OSH Act of 1970, Section: 5 (a)(1).",1 /50
213400,C-1625508,Amazon TEB6,,22 Hightstown-Cranbury Staion Road,,CRANBURY,NJ,08512,MIDDLESEX,454113 / 454113,2020-07-20 08:00:00,Online,Nonformal,,1. Employees are exposed to health hazards associated with COVID-19. It was reported that work areas are not designed to be six feet apart and social distancing is not implemented in accordance with CDC guidelines. Contrary to Section 5(a)1 of the OSH Act.,1 /100
213400,C-1631933,"Amazon Fulfillment Services, Inc.",Amazon Fulfillment Center (LGA9),2170 Lincoln Hwy,,EDISON,NJ,08817,MIDDLESEX,454110 / 493110,2020-07-28 08:00:00,Phone,Nonformal,,1. Workers are exposed to health hazards and unsanitary conditions where a circumstance closed all restrooms in the facility with no remedy or process to allow sanitary and private washing and voiding. Contrary to 29 CFR 1910.141(c). 2. Workers are exposed to hazards from unsanitary conditions in that wash stations with tepid water are not available routine and frequent cleansing as necessary to protect workers from COVID-19. Contrary to 29 CFR 1910.141(d).,1 /2000
213400,C-1667118,Amazon Fulfillment Center # TEB6,,22 Highstown - Cranbury Station Road,,CRANBURY,NJ,08512,MIDDLESEX,452910 / 452910,2020-10-01 08:00:00,Phone,Nonformal,,"1) EE¿s and managers not wearing face masks or social distancing as per CDC guidance. 2) Facility not being cleaned/sanitized properly as per CDC guidance, nor are there supplies to do so. ************************ 3) Black particle debris in water. (Non COVID) Warehouse",3 /0
